Source,Target
MAPK10,hsa04933
JUN,hsa04933
NFKB1,hsa04933
CCND1,hsa04933
BCL2,hsa04933
MAPK9,hsa04933
IL1B,hsa04933
MAPK14,hsa04933
MAPK1,hsa04933
COL1A1,hsa04933
JAK2,hsa04933
MAPK3,hsa04933
STAT3,hsa04933
IL6,hsa04933
TGFB1,hsa04933
TGFB2,hsa04933
MAPK8,hsa04933
VEGFA,hsa04933
TNF,hsa04933
SMAD2,hsa04933
AKT1,hsa04933
RELA,hsa04933
BAX,hsa04933
PIK3CA,hsa04933
SMAD3,hsa04933
MAPK10,hsa05161
JUN,hsa05161
NFKB1,hsa05161
BCL2,hsa05161
TP53,hsa05161
MAPK9,hsa05161
NFKBIA,hsa05161
MAPK14,hsa05161
MAPK1,hsa05161
JAK2,hsa05161
IKBKB,hsa05161
MAPK3,hsa05161
STAT3,hsa05161
IL6,hsa05161
TGFB1,hsa05161
TGFB2,hsa05161
MAPK8,hsa05161
FOS,hsa05161
TNF,hsa05161
AKT1,hsa05161
ATF2,hsa05161
RELA,hsa05161
BAX,hsa05161
PIK3CA,hsa05161
SMAD3,hsa05161
BRAF,hsa05161
MMP9,hsa05161
MAPK10,hsa05417
JUN,hsa05417
NFKB1,hsa05417
BCL2,hsa05417
TP53,hsa05417
MAPK9,hsa05417
NFKBIA,hsa05417
IL1B,hsa05417
CYBA,hsa05417
MAPK14,hsa05417
MAPK1,hsa05417
NLRP3,hsa05417
JAK2,hsa05417
IKBKB,hsa05417
MAPK3,hsa05417
STAT3,hsa05417
IL6,hsa05417
MAPK8,hsa05417
NFE2L2,hsa05417
FOS,hsa05417
TNF,hsa05417
GSK3B,hsa05417
AKT1,hsa05417
PTK2,hsa05417
RELA,hsa05417
CASP1,hsa05417
BAX,hsa05417
PIK3CA,hsa05417
MMP9,hsa05417
MAPK10,hsa01522
JUN,hsa01522
CCND1,hsa01522
BCL2,hsa01522
TP53,hsa01522
NOTCH1,hsa01522
MAPK9,hsa01522
MAPK14,hsa01522
MAPK1,hsa01522
MAPK3,hsa01522
MAPK8,hsa01522
SP1,hsa01522
PRKACA,hsa01522
PRKACB,hsa01522
FOS,hsa01522
AKT1,hsa01522
PTK2,hsa01522
PRKACG,hsa01522
BAX,hsa01522
PIK3CA,hsa01522
BRAF,hsa01522
MMP9,hsa01522
MAPK10,hsa05212
NFKB1,hsa05212
CCND1,hsa05212
TP53,hsa05212
MAPK9,hsa05212
MAPK1,hsa05212
IKBKB,hsa05212
MAPK3,hsa05212
STAT3,hsa05212
TGFB1,hsa05212
TGFB2,hsa05212
MAPK8,hsa05212
VEGFA,hsa05212
SMAD2,hsa05212
AKT1,hsa05212
RELA,hsa05212
BAX,hsa05212
PIK3CA,hsa05212
SMAD3,hsa05212
BRAF,hsa05212
MAPK10,hsa04659
JUN,hsa04659
NFKB1,hsa04659
HIF1A,hsa04659
MAPK9,hsa04659
NFKBIA,hsa04659
IL1B,hsa04659
MAPK14,hsa04659
MAPK1,hsa04659
NFKBIB,hsa04659
JAK2,hsa04659
IKBKB,hsa04659
MAPK3,hsa04659
STAT3,hsa04659
IL6,hsa04659
TGFB1,hsa04659
MAPK8,hsa04659
FOS,hsa04659
SMAD2,hsa04659
RELA,hsa04659
NFKBIE,hsa04659
SMAD3,hsa04659
MAPK10,hsa04926
JUN,hsa04926
NFKB1,hsa04926
MAPK9,hsa04926
NFKBIA,hsa04926
MAPK14,hsa04926
MAPK1,hsa04926
COL1A1,hsa04926
MAPK3,hsa04926
ACTA2,hsa04926
TGFB1,hsa04926
MAPK8,hsa04926
VEGFA,hsa04926
PRKACA,hsa04926
PRKACB,hsa04926
FOS,hsa04926
SMAD2,hsa04926
AKT1,hsa04926
PRKACG,hsa04926
ATF2,hsa04926
RELA,hsa04926
PIK3CA,hsa04926
MMP9,hsa04926
MAPK10,hsa05166
JUN,hsa05166
NFKB2,hsa05166
NFKB1,hsa05166
CCND1,hsa05166
TP53,hsa05166
MAPK9,hsa05166
NFKBIA,hsa05166
MAPK1,hsa05166
IKBKB,hsa05166
MAPK3,hsa05166
IL6,hsa05166
TGFB1,hsa05166
TGFB2,hsa05166
MAPK8,hsa05166
PRKACA,hsa05166
PRKACB,hsa05166
FOS,hsa05166
TNF,hsa05166
SMAD2,hsa05166
AKT1,hsa05166
PRKACG,hsa05166
ATF2,hsa05166
RELA,hsa05166
BAX,hsa05166
PIK3CA,hsa05166
SMAD3,hsa05166
NFKB1,hsa05163
CCND1,hsa05163
CXCR4,hsa05163
TP53,hsa05163
CXCL12,hsa05163
NFKBIA,hsa05163
IL1B,hsa05163
MAPK14,hsa05163
MAPK1,hsa05163
ITPR2,hsa05163
IKBKB,hsa05163
MAPK3,hsa05163
STAT3,hsa05163
IL6,hsa05163
SP1,hsa05163
VEGFA,hsa05163
PRKACA,hsa05163
PRKACB,hsa05163
TNF,hsa05163
GSK3B,hsa05163
AKT1,hsa05163
PTK2,hsa05163
PRKACG,hsa05163
ATF2,hsa05163
RELA,hsa05163
BAX,hsa05163
PIK3CA,hsa05163
MAPK10,hsa05135
JUN,hsa05135
NFKB1,hsa05135
MAPK9,hsa05135
NFKBIA,hsa05135
IL1B,hsa05135
MAPK14,hsa05135
MAPK1,hsa05135
NLRP3,hsa05135
IKBKB,hsa05135
MAPK3,hsa05135
IL6,hsa05135
MAPK8,hsa05135
FOS,hsa05135
TNF,hsa05135
GSK3B,hsa05135
ITGA4,hsa05135
ITGB1,hsa05135
AKT1,hsa05135
PTK2,hsa05135
RELA,hsa05135
CASP1,hsa05135
PIK3CA,hsa05135
MAPK10,hsa04380
SOCS3,hsa04380
JUN,hsa04380
NFKB2,hsa04380
NFKB1,hsa04380
MAPK9,hsa04380
NFKBIA,hsa04380
IL1B,hsa04380
CYBA,hsa04380
MAPK14,hsa04380
MAPK1,hsa04380
ITPR2,hsa04380
IKBKB,hsa04380
MAPK3,hsa04380
TGFB1,hsa04380
SQSTM1,hsa04380
TGFB2,hsa04380
MAPK8,hsa04380
FOS,hsa04380
TNF,hsa04380
AKT1,hsa04380
RELA,hsa04380
PIK3CA,hsa04380
MAPK10,hsa04668
SOCS3,hsa04668
JUN,hsa04668
NFKB1,hsa04668
MAPK9,hsa04668
NFKBIA,hsa04668
IL1B,hsa04668
MAPK14,hsa04668
MAPK1,hsa04668
IKBKB,hsa04668
MAPK3,hsa04668
IL6,hsa04668
MAPK8,hsa04668
FOS,hsa04668
TNF,hsa04668
AKT1,hsa04668
ATF2,hsa04668
RELA,hsa04668
PIK3CA,hsa04668
CEBPB,hsa04668
MMP9,hsa04668
MAPK10,hsa05142
JUN,hsa05142
NFKB1,hsa05142
MAPK9,hsa05142
NFKBIA,hsa05142
IL1B,hsa05142
MAPK14,hsa05142
MAPK1,hsa05142
IKBKB,hsa05142
MAPK3,hsa05142
IL6,hsa05142
TGFB1,hsa05142
TGFB2,hsa05142
MAPK8,hsa05142
FOS,hsa05142
TNF,hsa05142
SMAD2,hsa05142
AKT1,hsa05142
RELA,hsa05142
PIK3CA,hsa05142
MAPK10,hsa05210
JUN,hsa05210
CCND1,hsa05210
BCL2,hsa05210
TP53,hsa05210
MAPK9,hsa05210
MAPK1,hsa05210
MAPK3,hsa05210
TGFB1,hsa05210
TGFB2,hsa05210
MAPK8,hsa05210
FOS,hsa05210
SMAD2,hsa05210
GSK3B,hsa05210
AKT1,hsa05210
BAX,hsa05210
PIK3CA,hsa05210
SMAD3,hsa05210
BRAF,hsa05210
MAPK10,hsa05418
JUN,hsa05418
NFKB1,hsa05418
BCL2,hsa05418
TP53,hsa05418
MAPK9,hsa05418
IL1B,hsa05418
KEAP1,hsa05418
CYBA,hsa05418
MAPK14,hsa05418
IKBKB,hsa05418
SQSTM1,hsa05418
MAPK8,hsa05418
NFE2L2,hsa05418
VEGFA,hsa05418
FOS,hsa05418
TNF,hsa05418
AKT1,hsa05418
PTK2,hsa05418
RELA,hsa05418
PIK3CA,hsa05418
MMP9,hsa05418
MAPK10,hsa04625
JUN,hsa04625
NFKB2,hsa04625
NFKB1,hsa04625
MAPK9,hsa04625
NFKBIA,hsa04625
IL1B,hsa04625
MAPK14,hsa04625
MAPK1,hsa04625
ITPR2,hsa04625
NLRP3,hsa04625
IKBKB,hsa04625
MAPK3,hsa04625
IL6,hsa04625
MAPK8,hsa04625
TNF,hsa04625
AKT1,hsa04625
RELA,hsa04625
CASP1,hsa04625
PIK3CA,hsa04625
MAPK10,hsa05167
JUN,hsa05167
NFKB1,hsa05167
CCND1,hsa05167
HIF1A,hsa05167
TP53,hsa05167
MAPK9,hsa05167
NFKBIA,hsa05167
MAPK14,hsa05167
MAPK1,hsa05167
ITPR2,hsa05167
JAK2,hsa05167
IKBKB,hsa05167
MAPK3,hsa05167
STAT3,hsa05167
IL6,hsa05167
MAPK8,hsa05167
VEGFA,hsa05167
FOS,hsa05167
GSK3B,hsa05167
AKT1,hsa05167
RELA,hsa05167
BAX,hsa05167
PIK3CA,hsa05167
MAPK10,hsa05131
JUN,hsa05131
NFKB1,hsa05131
BCL2,hsa05131
TP53,hsa05131
MAPK9,hsa05131
NFKBIA,hsa05131
IL1B,hsa05131
MAPK14,hsa05131
MAPK1,hsa05131
ITPR2,hsa05131
NLRP3,hsa05131
NFKBIB,hsa05131
IKBKB,hsa05131
MAPK3,hsa05131
SQSTM1,hsa05131
MAPK8,hsa05131
TNF,hsa05131
GSK3B,hsa05131
ITGB1,hsa05131
AKT1,hsa05131
PTK2,hsa05131
RELA,hsa05131
CASP1,hsa05131
BAX,hsa05131
PIK3CA,hsa05131
CCND1,hsa05205
HIF1A,hsa05205
TP53,hsa05205
FGFR1,hsa05205
MAPK14,hsa05205
MAPK1,hsa05205
ITPR2,hsa05205
COL1A1,hsa05205
MAPK3,hsa05205
STAT3,hsa05205
TGFB1,hsa05205
TGFB2,hsa05205
VEGFA,hsa05205
PRKACA,hsa05205
PRKACB,hsa05205
TNF,hsa05205
SMAD2,hsa05205
ITGB1,hsa05205
AKT1,hsa05205
PTK2,hsa05205
PRKACG,hsa05205
PIK3CA,hsa05205
BRAF,hsa05205
MMP9,hsa05205
MAPK10,hsa04722
JUN,hsa04722
NFKB1,hsa04722
BCL2,hsa04722
TP53,hsa04722
MAPK9,hsa04722
NFKBIA,hsa04722
MAPK14,hsa04722
MAPK1,hsa04722
NFKBIB,hsa04722
IKBKB,hsa04722
MAPK3,hsa04722
MAPK8,hsa04722
GSK3B,hsa04722
AKT1,hsa04722
RELA,hsa04722
BAX,hsa04722
PIK3CA,hsa04722
NFKBIE,hsa04722
BRAF,hsa04722
MAPK10,hsa05145
NFKB1,hsa05145
BCL2,hsa05145
MAPK9,hsa05145
NFKBIA,hsa05145
MAPK14,hsa05145
MAPK1,hsa05145
NFKBIB,hsa05145
JAK2,hsa05145
IKBKB,hsa05145
MAPK3,hsa05145
STAT3,hsa05145
TGFB1,hsa05145
TGFB2,hsa05145
MAPK8,hsa05145
TNF,hsa05145
ITGB1,hsa05145
AKT1,hsa05145
RELA,hsa05145
MAPK10,hsa04657
JUN,hsa04657
NFKB1,hsa04657
MAPK9,hsa04657
NFKBIA,hsa04657
IL1B,hsa04657
MAPK14,hsa04657
MAPK1,hsa04657
IKBKB,hsa04657
MAPK3,hsa04657
IL6,hsa04657
MAPK8,hsa04657
FOS,hsa04657
TNF,hsa04657
GSK3B,hsa04657
RELA,hsa04657
CEBPB,hsa04657
MMP9,hsa04657
JUN,hsa05140
NFKB1,hsa05140
NFKBIA,hsa05140
IL1B,hsa05140
CYBA,hsa05140
MAPK14,hsa05140
MAPK1,hsa05140
NFKBIB,hsa05140
JAK2,hsa05140
MAPK3,hsa05140
TGFB1,hsa05140
TGFB2,hsa05140
FOS,hsa05140
TNF,hsa05140
ITGA4,hsa05140
ITGB1,hsa05140
RELA,hsa05140
MAPK10,hsa05162
JUN,hsa05162
NFKB1,hsa05162
CCND1,hsa05162
BCL2,hsa05162
TP53,hsa05162
MAPK9,hsa05162
NFKBIA,hsa05162
IL1B,hsa05162
NFKBIB,hsa05162
IKBKB,hsa05162
STAT3,hsa05162
IL6,hsa05162
MAPK8,hsa05162
FOS,hsa05162
GSK3B,hsa05162
AKT1,hsa05162
RELA,hsa05162
BAX,hsa05162
PIK3CA,hsa05162
MAPK10,hsa04935
SOCS3,hsa04935
MAPK9,hsa04935
MAPK14,hsa04935
MAPK1,hsa04935
ITPR2,hsa04935
JAK2,hsa04935
MAPK3,hsa04935
STAT3,hsa04935
MAPK8,hsa04935
PRKACA,hsa04935
PRKACB,hsa04935
FOS,hsa04935
GSK3B,hsa04935
AKT1,hsa04935
PTK2,hsa04935
PRKACG,hsa04935
ATF2,hsa04935
PIK3CA,hsa04935
MAPK10,hsa04917
SOCS3,hsa04917
NFKB1,hsa04917
CCND1,hsa04917
MAPK9,hsa04917
MAPK14,hsa04917
MAPK1,hsa04917
JAK2,hsa04917
MAPK3,hsa04917
STAT3,hsa04917
MAPK8,hsa04917
FOS,hsa04917
GSK3B,hsa04917
AKT1,hsa04917
RELA,hsa04917
PIK3CA,hsa04917
MAPK10,hsa05133
JUN,hsa05133
NFKB1,hsa05133
MAPK9,hsa05133
IL1B,hsa05133
MAPK14,hsa05133
MAPK1,hsa05133
NLRP3,hsa05133
MAPK3,hsa05133
IL6,hsa05133
MAPK8,hsa05133
FOS,hsa05133
TNF,hsa05133
ITGB1,hsa05133
RELA,hsa05133
CASP1,hsa05133
MAPK10,hsa04210
JUN,hsa04210
NFKB1,hsa04210
BCL2,hsa04210
TP53,hsa04210
MAPK9,hsa04210
MCL1,hsa04210
NFKBIA,hsa04210
MAPK1,hsa04210
ITPR2,hsa04210
IKBKB,hsa04210
MAPK3,hsa04210
MAPK8,hsa04210
FOS,hsa04210
TNF,hsa04210
AKT1,hsa04210
RELA,hsa04210
BAX,hsa04210
PIK3CA,hsa04210
MAPK10,hsa04010
JUN,hsa04010
NFKB2,hsa04010
NFKB1,hsa04010
TP53,hsa04010
MAPK9,hsa04010
IL1B,hsa04010
FGFR1,hsa04010
MAPK14,hsa04010
MAPK1,hsa04010
IKBKB,hsa04010
MAPK3,hsa04010
TGFB1,hsa04010
TGFB2,hsa04010
MAPK8,hsa04010
VEGFA,hsa04010
PRKACA,hsa04010
PRKACB,hsa04010
FOS,hsa04010
TNF,hsa04010
AKT1,hsa04010
PRKACG,hsa04010
ATF2,hsa04010
RELA,hsa04010
BRAF,hsa04010
MAPK10,hsa04910
SOCS3,hsa04910
MAPK9,hsa04910
PRKAR2A,hsa04910
MAPK1,hsa04910
IKBKB,hsa04910
MAPK3,hsa04910
PRKAR1A,hsa04910
MAPK8,hsa04910
PRKACA,hsa04910
PRKACB,hsa04910
PRKAR2B,hsa04910
GSK3B,hsa04910
AKT1,hsa04910
PRKACG,hsa04910
PIK3CA,hsa04910
PRKAR1B,hsa04910
BRAF,hsa04910
PPARGC1A,hsa04910
MAPK10,hsa04621
JUN,hsa04621
NFKB1,hsa04621
BCL2,hsa04621
MAPK9,hsa04621
NFKBIA,hsa04621
IL1B,hsa04621
CYBA,hsa04621
MAPK14,hsa04621
MAPK1,hsa04621
ITPR2,hsa04621
NLRP3,hsa04621
NFKBIB,hsa04621
IKBKB,hsa04621
MAPK3,hsa04621
IL6,hsa04621
MAPK8,hsa04621
TNF,hsa04621
GSDMD,hsa04621
RELA,hsa04621
CASP1,hsa04621
MAPK10,hsa04660
JUN,hsa04660
NFKB1,hsa04660
MAPK9,hsa04660
NFKBIA,hsa04660
MAPK14,hsa04660
MAPK1,hsa04660
NFKBIB,hsa04660
IKBKB,hsa04660
MAPK3,hsa04660
MAPK8,hsa04660
FOS,hsa04660
TNF,hsa04660
GSK3B,hsa04660
AKT1,hsa04660
RELA,hsa04660
PIK3CA,hsa04660
NFKBIE,hsa04660
MAPK10,hsa04920
SOCS3,hsa04920
NFKB1,hsa04920
MAPK9,hsa04920
NFKBIA,hsa04920
NFKBIB,hsa04920
JAK2,hsa04920
IKBKB,hsa04920
STAT3,hsa04920
MAPK8,hsa04920
TNF,hsa04920
AKT1,hsa04920
RELA,hsa04920
NFKBIE,hsa04920
PPARGC1A,hsa04920
MAPK10,hsa05208
JUN,hsa05208
NFKB1,hsa05208
HIF1A,hsa05208
MAPK9,hsa05208
NFKBIA,hsa05208
KEAP1,hsa05208
CYBA,hsa05208
MAPK14,hsa05208
MAPK1,hsa05208
IKBKB,hsa05208
MAPK3,hsa05208
MAPK8,hsa05208
NFE2L2,hsa05208
VEGFA,hsa05208
FOS,hsa05208
AKT1,hsa05208
PTK2,hsa05208
RELA,hsa05208
PIK3CA,hsa05208
COX2,hsa05208
BRAF,hsa05208
JUN,hsa05235
NFKB1,hsa05235
HIF1A,hsa05235
NFKBIA,hsa05235
MAPK14,hsa05235
MAPK1,hsa05235
NFKBIB,hsa05235
JAK2,hsa05235
IKBKB,hsa05235
MAPK3,hsa05235
STAT3,hsa05235
FOS,hsa05235
AKT1,hsa05235
RELA,hsa05235
PIK3CA,hsa05235
NFKBIE,hsa05235
MAPK10,hsa04620
JUN,hsa04620
NFKB1,hsa04620
MAPK9,hsa04620
NFKBIA,hsa04620
IL1B,hsa04620
MAPK14,hsa04620
MAPK1,hsa04620
IKBKB,hsa04620
MAPK3,hsa04620
IL6,hsa04620
MAPK8,hsa04620
FOS,hsa04620
TNF,hsa04620
AKT1,hsa04620
RELA,hsa04620
PIK3CA,hsa04620
MAPK10,hsa05130
JUN,hsa05130
NFKB1,hsa05130
MAPK9,hsa05130
NFKBIA,hsa05130
IL1B,hsa05130
MAPK14,hsa05130
MAPK1,hsa05130
NLRP3,hsa05130
NFKBIB,hsa05130
IKBKB,hsa05130
MAPK3,hsa05130
IL6,hsa05130
F2R,hsa05130
MAPK8,hsa05130
FOS,hsa05130
TNF,hsa05130
ITGB1,hsa05130
RELA,hsa05130
CASP1,hsa05130
BAX,hsa05130
MAPK10,hsa05169
JUN,hsa05169
NFKB2,hsa05169
NFKB1,hsa05169
CCND1,hsa05169
BCL2,hsa05169
TP53,hsa05169
MAPK9,hsa05169
NFKBIA,hsa05169
MAPK14,hsa05169
NFKBIB,hsa05169
IKBKB,hsa05169
STAT3,hsa05169
IL6,hsa05169
MAPK8,hsa05169
TNF,hsa05169
AKT1,hsa05169
RELA,hsa05169
BAX,hsa05169
PIK3CA,hsa05169
NFKBIE,hsa05169
MAPK10,hsa04658
JUN,hsa04658
NFKB1,hsa04658
NOTCH1,hsa04658
MAPK9,hsa04658
NFKBIA,hsa04658
MAPK14,hsa04658
MAPK1,hsa04658
NFKBIB,hsa04658
JAK2,hsa04658
IKBKB,hsa04658
MAPK3,hsa04658
MAPK8,hsa04658
FOS,hsa04658
RELA,hsa04658
NFKBIE,hsa04658
MAPK10,hsa04932
SOCS3,hsa04932
JUN,hsa04932
NFKB1,hsa04932
MAPK9,hsa04932
IL1B,hsa04932
MAPK14,hsa04932
IKBKB,hsa04932
IL6,hsa04932
TGFB1,hsa04932
MAPK8,hsa04932
FOS,hsa04932
TNF,hsa04932
GSK3B,hsa04932
AKT1,hsa04932
RELA,hsa04932
BAX,hsa04932
PIK3CA,hsa04932
COX2,hsa04932
NFKB1,hsa05220
CCND1,hsa05220
TP53,hsa05220
NFKBIA,hsa05220
MAPK1,hsa05220
IKBKB,hsa05220
MAPK3,hsa05220
TGFB1,hsa05220
TGFB2,hsa05220
AKT1,hsa05220
RELA,hsa05220
BAX,hsa05220
PIK3CA,hsa05220
SMAD3,hsa05220
BRAF,hsa05220
MAPK10,hsa05132
JUN,hsa05132
NFKB1,hsa05132
BCL2,hsa05132
MAPK9,hsa05132
NFKBIA,hsa05132
IL1B,hsa05132
MAPK14,hsa05132
MAPK1,hsa05132
NLRP3,hsa05132
IKBKB,hsa05132
MAPK3,hsa05132
IL6,hsa05132
MAPK8,hsa05132
FOS,hsa05132
TNF,hsa05132
AKT1,hsa05132
GSDMD,hsa05132
RELA,hsa05132
CASP1,hsa05132
BAX,hsa05132
PIK3CA,hsa05132
MAPK10,hsa04068
CCND1,hsa04068
MAPK9,hsa04068
MAPK14,hsa04068
MAPK1,hsa04068
IKBKB,hsa04068
MAPK3,hsa04068
STAT3,hsa04068
IL6,hsa04068
TGFB1,hsa04068
TGFB2,hsa04068
MAPK8,hsa04068
SIRT1,hsa04068
AKT1,hsa04068
PIK3CA,hsa04068
SMAD3,hsa04068
BRAF,hsa04068
MAPK10,hsa05170
JUN,hsa05170
NFKB1,hsa05170
BCL2,hsa05170
CXCR4,hsa05170
MAPK9,hsa05170
NFKBIA,hsa05170
MAPK14,hsa05170
MAPK1,hsa05170
ITPR2,hsa05170
IKBKB,hsa05170
MAPK3,hsa05170
MAPK8,hsa05170
FOS,hsa05170
TNF,hsa05170
AKT1,hsa05170
PTK2,hsa05170
RELA,hsa05170
BAX,hsa05170
PIK3CA,hsa05170
NFKB1,hsa04062
CXCR4,hsa04062
CXCL12,hsa04062
NFKBIA,hsa04062
MAPK1,hsa04062
NFKBIB,hsa04062
JAK2,hsa04062
IKBKB,hsa04062
MAPK3,hsa04062
STAT3,hsa04062
PRKACA,hsa04062
PRKACB,hsa04062
GSK3B,hsa04062
AKT1,hsa04062
PTK2,hsa04062
PRKACG,hsa04062
RELA,hsa04062
PIK3CA,hsa04062
BRAF,hsa04062
NFKB1,hsa05215
CCND1,hsa05215
BCL2,hsa05215
TP53,hsa05215
NFKBIA,hsa05215
FGFR1,hsa05215
MAPK1,hsa05215
IKBKB,hsa05215
MAPK3,hsa05215
GSK3B,hsa05215
AKT1,hsa05215
RELA,hsa05215
PIK3CA,hsa05215
BRAF,hsa05215
MMP9,hsa05215
MAPK10,hsa05171
JUN,hsa05171
NFKB1,hsa05171
MAPK9,hsa05171
NFKBIA,hsa05171
IL1B,hsa05171
MAPK14,hsa05171
MAPK1,hsa05171
NLRP3,hsa05171
NFKBIB,hsa05171
IKBKB,hsa05171
MAPK3,hsa05171
STAT3,hsa05171
IL6,hsa05171
MAPK8,hsa05171
FOS,hsa05171
TNF,hsa05171
RELA,hsa05171
CASP1,hsa05171
PIK3CA,hsa05171
MAPK10,hsa05152
NFKB1,hsa05152
BCL2,hsa05152
MAPK9,hsa05152
IL1B,hsa05152
MAPK14,hsa05152
MAPK1,hsa05152
JAK2,hsa05152
MAPK3,hsa05152
IL6,hsa05152
TGFB1,hsa05152
TGFB2,hsa05152
MAPK8,hsa05152
TNF,hsa05152
AKT1,hsa05152
RELA,hsa05152
BAX,hsa05152
CEBPB,hsa05152
MAPK10,hsa04931
SOCS3,hsa04931
NFKB1,hsa04931
MAPK9,hsa04931
NFKBIA,hsa04931
IKBKB,hsa04931
STAT3,hsa04931
IL6,hsa04931
MAPK8,hsa04931
TNF,hsa04931
GSK3B,hsa04931
AKT1,hsa04931
RELA,hsa04931
PIK3CA,hsa04931
PPARGC1A,hsa04931
NFKB1,hsa04218
CCND1,hsa04218
TP53,hsa04218
MAPK14,hsa04218
MAPK1,hsa04218
ITPR2,hsa04218
MAPK3,hsa04218
IL6,hsa04218
TGFB1,hsa04218
SQSTM1,hsa04218
TGFB2,hsa04218
SIRT1,hsa04218
SMAD2,hsa04218
AKT1,hsa04218
RELA,hsa04218
PIK3CA,hsa04218
SMAD3,hsa04218
MAPK10,hsa04936
NFKB1,hsa04936
CCND1,hsa04936
MAPK9,hsa04936
NFKBIA,hsa04936
IL1B,hsa04936
MAPK14,hsa04936
IKBKB,hsa04936
IL6,hsa04936
MAPK8,hsa04936
SIRT1,hsa04936
TNF,hsa04936
GSK3B,hsa04936
AKT1,hsa04936
RELA,hsa04936
PPARGC1A,hsa04936
SOCS3,hsa05164
NFKB1,hsa05164
NFKBIA,hsa05164
IL1B,hsa05164
MAPK1,hsa05164
NLRP3,hsa05164
NFKBIB,hsa05164
JAK2,hsa05164
IKBKB,hsa05164
MAPK3,hsa05164
IL6,hsa05164
TNF,hsa05164
AKT1,hsa05164
RELA,hsa05164
CASP1,hsa05164
BAX,hsa05164
PIK3CA,hsa05164
MAPK10,hsa05415
NFKB1,hsa05415
MAPK9,hsa05415
CYBA,hsa05415
MAPK14,hsa05415
COL1A1,hsa05415
TGFB1,hsa05415
TGFB2,hsa05415
MAPK8,hsa05415
SP1,hsa05415
SMAD2,hsa05415
GSK3B,hsa05415
AKT1,hsa05415
RELA,hsa05415
PIK3CA,hsa05415
COX2,hsa05415
SMAD3,hsa05415
MMP9,hsa05415
MAPK10,hsa05020
NOTCH1,hsa05020
MAPK9,hsa05020
IL1B,hsa05020
CYBA,hsa05020
MAPK14,hsa05020
MAPK1,hsa05020
ITPR2,hsa05020
MAPK3,hsa05020
IL6,hsa05020
MAPK8,hsa05020
PRKACA,hsa05020
PRKACB,hsa05020
TNF,hsa05020
GSK3B,hsa05020
PRKACG,hsa05020
ATF2,hsa05020
BAX,hsa05020
PIK3CA,hsa05020
COX2,hsa05020
SOCS3,hsa05160
NFKB1,hsa05160
CCND1,hsa05160
TP53,hsa05160
NFKBIA,hsa05160
MAPK1,hsa05160
IKBKB,hsa05160
MAPK3,hsa05160
STAT3,hsa05160
TNF,hsa05160
GSK3B,hsa05160
AKT1,hsa05160
RELA,hsa05160
BAX,hsa05160
PIK3CA,hsa05160
BRAF,hsa05160
NFKB1,hsa04151
CCND1,hsa04151
BCL2,hsa04151
TP53,hsa04151
MCL1,hsa04151
FGFR1,hsa04151
