Source,Target
MAPK1,hsa04151
COL1A1,hsa04151
JAK2,hsa04151
IKBKB,hsa04151
MAPK3,hsa04151
IL6,hsa04151
F2R,hsa04151
VEGFA,hsa04151
GSK3B,hsa04151
ITGA4,hsa04151
ITGB1,hsa04151
AKT1,hsa04151
PTK2,hsa04151
ATF2,hsa04151
RELA,hsa04151
PIK3CA,hsa04151
JUN,hsa04662
NFKB1,hsa04662
NFKBIA,hsa04662
MAPK1,hsa04662
NFKBIB,hsa04662
IKBKB,hsa04662
MAPK3,hsa04662
FOS,hsa04662
GSK3B,hsa04662
AKT1,hsa04662
RELA,hsa04662
PIK3CA,hsa04662
NFKBIE,hsa04662
MAPK10,hsa04024
JUN,hsa04024
NFKB1,hsa04024
MAPK9,hsa04024
NFKBIA,hsa04024
MAPK1,hsa04024
MAPK3,hsa04024
F2R,hsa04024
MAPK8,hsa04024
GLP1R,hsa04024
PRKACA,hsa04024
PRKACB,hsa04024
FOS,hsa04024
AKT1,hsa04024
PRKACG,hsa04024
RELA,hsa04024
PIK3CA,hsa04024
BRAF,hsa04024
NFKB1,hsa05165
CCND1,hsa05165
TP53,hsa05165
NOTCH1,hsa05165
MAPK1,hsa05165
COL1A1,hsa05165
IKBKB,hsa05165
MAPK3,hsa05165
VEGFA,hsa05165
PRKACA,hsa05165
PRKACB,hsa05165
TNF,hsa05165
GSK3B,hsa05165
ITGA4,hsa05165
ITGB1,hsa05165
AKT1,hsa05165
PTK2,hsa05165
PRKACG,hsa05165
RELA,hsa05165
BAX,hsa05165
PIK3CA,hsa05165
MAPK10,hsa04510
JUN,hsa04510
CCND1,hsa04510
BCL2,hsa04510
MAPK9,hsa04510
MAPK1,hsa04510
COL1A1,hsa04510
MAPK3,hsa04510
MAPK8,hsa04510
VEGFA,hsa04510
GSK3B,hsa04510
ITGA4,hsa04510
ITGB1,hsa04510
AKT1,hsa04510
PTK2,hsa04510
PIK3CA,hsa04510
BRAF,hsa04510
JUN,hsa05203
NFKB2,hsa05203
NFKB1,hsa05203
CCND1,hsa05203
TP53,hsa05203
NFKBIA,hsa05203
MAPK1,hsa05203
REL,hsa05203
MAPK3,hsa05203
STAT3,hsa05203
PRKACA,hsa05203
PRKACB,hsa05203
PRKACG,hsa05203
ATF2,hsa05203
RELA,hsa05203
BAX,hsa05203
PIK3CA,hsa05203
MAPK10,hsa04071
NFKB1,hsa04071
BCL2,hsa04071
TP53,hsa04071
MAPK9,hsa04071
MAPK14,hsa04071
MAPK1,hsa04071
MAPK3,hsa04071
MAPK8,hsa04071
TNF,hsa04071
AKT1,hsa04071
RELA,hsa04071
BAX,hsa04071
PIK3CA,hsa04071
JUN,hsa05224
NFKB2,hsa05224
CCND1,hsa05224
TP53,hsa05224
NOTCH1,hsa05224
FGFR1,hsa05224
MAPK1,hsa05224
MAPK3,hsa05224
SP1,hsa05224
FOS,hsa05224
GSK3B,hsa05224
AKT1,hsa05224
BAX,hsa05224
PIK3CA,hsa05224
BRAF,hsa05224
CCND1,hsa05226
BCL2,hsa05226
TP53,hsa05226
MAPK1,hsa05226
MAPK3,hsa05226
TGFB1,hsa05226
TGFB2,hsa05226
SMAD2,hsa05226
GSK3B,hsa05226
AKT1,hsa05226
BAX,hsa05226
PIK3CA,hsa05226
SMAD3,hsa05226
BRAF,hsa05226
CDH1,hsa05226
BCL2,hsa01521
MAPK1,hsa01521
JAK2,hsa01521
MAPK3,hsa01521
STAT3,hsa01521
IL6,hsa01521
VEGFA,hsa01521
GSK3B,hsa01521
AKT1,hsa01521
BAX,hsa01521
PIK3CA,hsa01521
BRAF,hsa01521
NFKB1,hsa05146
IL1B,hsa05146
COL1A1,hsa05146
IL6,hsa05146
TGFB1,hsa05146
TGFB2,hsa05146
PRKACA,hsa05146
PRKACB,hsa05146
TNF,hsa05146
PTK2,hsa05146
PRKACG,hsa05146
RELA,hsa05146
PIK3CA,hsa05146
JUN,hsa05207
NFKB1,hsa05207
CCND1,hsa05207
BCL2,hsa05207
MAPK1,hsa05207
JAK2,hsa05207
MAPK3,hsa05207
STAT3,hsa05207
VEGFA,hsa05207
PRKACA,hsa05207
PRKACB,hsa05207
FOS,hsa05207
AKT1,hsa05207
PRKACG,hsa05207
ATF2,hsa05207
RELA,hsa05207
PIK3CA,hsa05207
JUN,hsa05321
NFKB1,hsa05321
IL1B,hsa05321
STAT3,hsa05321
IL6,hsa05321
TGFB1,hsa05321
TGFB2,hsa05321
TNF,hsa05321
SMAD2,hsa05321
RELA,hsa05321
SMAD3,hsa05321
NFKB1,hsa04211
TP53,hsa04211
SIRT1,hsa04211
PRKACA,hsa04211
PRKACB,hsa04211
AKT1,hsa04211
PRKACG,hsa04211
ATF2,hsa04211
RELA,hsa04211
BAX,hsa04211
PIK3CA,hsa04211
PPARGC1A,hsa04211
JUN,hsa04915
BCL2,hsa04915
MAPK1,hsa04915
ITPR2,hsa04915
MAPK3,hsa04915
SP1,hsa04915
PRKACA,hsa04915
PRKACB,hsa04915
FOS,hsa04915
AKT1,hsa04915
PRKACG,hsa04915
ATF2,hsa04915
PIK3CA,hsa04915
MMP9,hsa04915
CCND1,hsa05225
TP53,hsa05225
KEAP1,hsa05225
MAPK1,hsa05225
MAPK3,hsa05225
TGFB1,hsa05225
TGFB2,hsa05225
NFE2L2,hsa05225
SMAD2,hsa05225
GSK3B,hsa05225
AKT1,hsa05225
BAX,hsa05225
PIK3CA,hsa05225
SMAD3,hsa05225
BRAF,hsa05225
NFKB1,hsa05222
CCND1,hsa05222
BCL2,hsa05222
TP53,hsa05222
NFKBIA,hsa05222
IKBKB,hsa05222
ITGB1,hsa05222
AKT1,hsa05222
PTK2,hsa05222
RELA,hsa05222
BAX,hsa05222
PIK3CA,hsa05222
CCND1,hsa05213
TP53,hsa05213
MAPK1,hsa05213
MAPK3,hsa05213
GSK3B,hsa05213
AKT1,hsa05213
BAX,hsa05213
PIK3CA,hsa05213
BRAF,hsa05213
CDH1,hsa05213
MAPK10,hsa04012
JUN,hsa04012
MAPK9,hsa04012
MAPK1,hsa04012
MAPK3,hsa04012
MAPK8,hsa04012
GSK3B,hsa04012
AKT1,hsa04012
PTK2,hsa04012
PIK3CA,hsa04012
BRAF,hsa04012
MAPK10,hsa04930
SOCS3,hsa04930
MAPK9,hsa04930
MAPK1,hsa04930
IKBKB,hsa04930
MAPK3,hsa04930
MAPK8,hsa04930
TNF,hsa04930
PIK3CA,hsa04930
MAPK10,hsa04914
MAPK9,hsa04914
MAPK14,hsa04914
MAPK1,hsa04914
MAPK3,hsa04914
MAPK8,hsa04914
PRKACA,hsa04914
PRKACB,hsa04914
AKT1,hsa04914
PRKACG,hsa04914
PIK3CA,hsa04914
BRAF,hsa04914
CCND1,hsa04371
MAPK1,hsa04371
ITPR2,hsa04371
MAPK3,hsa04371
ACTA2,hsa04371
PRKACA,hsa04371
PRKACB,hsa04371
SMAD2,hsa04371
AKT1,hsa04371
PRKACG,hsa04371
SMAD3,hsa04371
PPARGC1A,hsa04371
CDH1,hsa04371
MAPK10,hsa04014
NFKB1,hsa04014
MAPK9,hsa04014
FGFR1,hsa04014
MAPK1,hsa04014
IKBKB,hsa04014
REL,hsa04014
MAPK3,hsa04014
MAPK8,hsa04014
VEGFA,hsa04014
PRKACA,hsa04014
PRKACB,hsa04014
AKT1,hsa04014
PRKACG,hsa04014
RELA,hsa04014
PIK3CA,hsa04014
NFKB1,hsa05221
CCND1,hsa05221
MAPK1,hsa05221
IKBKB,hsa05221
MAPK3,hsa05221
STAT3,hsa05221
AKT1,hsa05221
RELA,hsa05221
PIK3CA,hsa05221
BRAF,hsa05221
BCL2,hsa04928
FGFR1,hsa04928
MAPK1,hsa04928
ITPR2,hsa04928
MAPK3,hsa04928
SP1,hsa04928
PRKACA,hsa04928
PRKACB,hsa04928
FOS,hsa04928
PRKACG,hsa04928
ATF2,hsa04928
BRAF,hsa04928
JUN,hsa05211
HIF1A,hsa05211
MAPK1,hsa05211
MAPK3,hsa05211
TGFB1,hsa05211
TGFB2,hsa05211
VEGFA,hsa05211
AKT1,hsa05211
PIK3CA,hsa05211
BRAF,hsa05211
MAPK10,hsa04912
JUN,hsa04912
MAPK9,hsa04912
MAPK14,hsa04912
MAPK1,hsa04912
ITPR2,hsa04912
MAPK3,hsa04912
MAPK8,hsa04912
PRKACA,hsa04912
PRKACB,hsa04912
PRKACG,hsa04912
MAPK10,hsa04622
NFKB1,hsa04622
MAPK9,hsa04622
NFKBIA,hsa04622
MAPK14,hsa04622
NFKBIB,hsa04622
IKBKB,hsa04622
MAPK8,hsa04622
TNF,hsa04622
RELA,hsa04622
CCND1,hsa05218
TP53,hsa05218
FGFR1,hsa05218
MAPK1,hsa05218
MAPK3,hsa05218
AKT1,hsa05218
BAX,hsa05218
PIK3CA,hsa05218
BRAF,hsa05218
CDH1,hsa05218
CCND1,hsa04919
HIF1A,hsa04919
TP53,hsa04919
NOTCH1,hsa04919
MAPK1,hsa04919
MAPK3,hsa04919
PRKACA,hsa04919
PRKACB,hsa04919
GSK3B,hsa04919
AKT1,hsa04919
PRKACG,hsa04919
PIK3CA,hsa04919
SOCS3,hsa05168
NFKB1,hsa05168
BCL2,hsa05168
TP53,hsa05168
NFKBIA,hsa05168
IL1B,hsa05168
JAK2,hsa05168
IKBKB,hsa05168
IL6,hsa05168
TNF,hsa05168
AKT1,hsa05168
RELA,hsa05168
BAX,hsa05168
PIK3CA,hsa05168
MAPK10,hsa04750
MAPK9,hsa04750
IL1B,hsa04750
MAPK14,hsa04750
ITPR2,hsa04750
F2RL1,hsa04750
MAPK8,hsa04750
PRKACA,hsa04750
PRKACB,hsa04750
PRKACG,hsa04750
PIK3CA,hsa04750
MAPK10,hsa05231
JUN,hsa05231
HIF1A,hsa05231
MAPK9,hsa05231
MAPK1,hsa05231
MAPK3,hsa05231
MAPK8,hsa05231
SP1,hsa05231
FOS,hsa05231
AKT1,hsa05231
PIK3CA,hsa05231
MAPK14,hsa04611
MAPK1,hsa04611
ITPR2,hsa04611
COL1A1,hsa04611
MAPK3,hsa04611
F2R,hsa04611
PRKACA,hsa04611
PRKACB,hsa04611
ITGB1,hsa04611
AKT1,hsa04611
PRKACG,hsa04611
PIK3CA,hsa04611
MAPK10,hsa04728
MAPK9,hsa04728
MAPK14,hsa04728
ITPR2,hsa04728
MAPK8,hsa04728
PRKACA,hsa04728
PRKACB,hsa04728
FOS,hsa04728
GSK3B,hsa04728
AKT1,hsa04728
PRKACG,hsa04728
ATF2,hsa04728
CCND1,hsa05219
TP53,hsa05219
MAPK1,hsa05219
MAPK3,hsa05219
VEGFA,hsa05219
BRAF,hsa05219
MMP9,hsa05219
CDH1,hsa05219
NFKB1,hsa04623
NFKBIA,hsa04623
IL1B,hsa04623
NLRP3,hsa04623
NFKBIB,hsa04623
IKBKB,hsa04623
IL6,hsa04623
GSDMD,hsa04623
RELA,hsa04623
CASP1,hsa04623
MAPK10,hsa04140
HIF1A,hsa04140
BCL2,hsa04140
MAPK9,hsa04140
MAPK1,hsa04140
MAPK3,hsa04140
SQSTM1,hsa04140
MAPK8,hsa04140
PRKACA,hsa04140
PRKACB,hsa04140
AKT1,hsa04140
PRKACG,hsa04140
PIK3CA,hsa04140
NFKB1,hsa04066
HIF1A,hsa04066
BCL2,hsa04066
MAPK1,hsa04066
MAPK3,hsa04066
STAT3,hsa04066
IL6,hsa04066
VEGFA,hsa04066
AKT1,hsa04066
RELA,hsa04066
PIK3CA,hsa04066
BCL2,hsa04725
MAPK1,hsa04725
ITPR2,hsa04725
JAK2,hsa04725
MAPK3,hsa04725
PRKACA,hsa04725
PRKACB,hsa04725
FOS,hsa04725
AKT1,hsa04725
PRKACG,hsa04725
PIK3CA,hsa04725
MAPK10,hsa04664
MAPK9,hsa04664
MAPK14,hsa04664
MAPK1,hsa04664
MAPK3,hsa04664
MAPK8,hsa04664
TNF,hsa04664
AKT1,hsa04664
PIK3CA,hsa04664
MAPK10,hsa05120
JUN,hsa05120
NFKB1,hsa05120
MAPK9,hsa05120
NFKBIA,hsa05120
MAPK14,hsa05120
IKBKB,hsa05120
MAPK8,hsa05120
RELA,hsa05120
CCND1,hsa04934
MAPK1,hsa04934
ITPR2,hsa04934
MAPK3,hsa04934
SP1,hsa04934
PRKACA,hsa04934
PRKACB,hsa04934
GSK3B,hsa04934
PRKACG,hsa04934
ATF2,hsa04934
BRAF,hsa04934
CYP11A1,hsa04934
CCND1,hsa05223
TP53,hsa05223
MAPK1,hsa05223
MAPK3,hsa05223
STAT3,hsa05223
AKT1,hsa05223
BAX,hsa05223
PIK3CA,hsa05223
BRAF,hsa05223
MAPK10,hsa04217
BCL2,hsa04217
MAPK9,hsa04217
IL1B,hsa04217
NLRP3,hsa04217
JAK2,hsa04217
STAT3,hsa04217
SQSTM1,hsa04217
MAPK8,hsa04217
TNF,hsa04217
CASP1,hsa04217
BAX,hsa04217
CCND1,hsa05216
TP53,hsa05216
MAPK1,hsa05216
MAPK3,hsa05216
BAX,hsa05216
BRAF,hsa05216
CDH1,hsa05216
NFKB2,hsa05134
NFKB1,hsa05134
NFKBIA,hsa05134
IL1B,hsa05134
IL6,hsa05134
TNF,hsa05134
RELA,hsa05134
CASP1,hsa05134
MAPK10,hsa04137
JUN,hsa04137
HIF1A,hsa04137
TP53,hsa04137
MAPK9,hsa04137
SQSTM1,hsa04137
MAPK8,hsa04137
SP1,hsa04137
RELA,hsa04137
OPA1,hsa04137
MAPK10,hsa04310
JUN,hsa04310
CCND1,hsa04310
TP53,hsa04310
MAPK9,hsa04310
MAPK8,hsa04310
SIRT1,hsa04310
PRKACA,hsa04310
PRKACB,hsa04310
GSK3B,hsa04310
PRKACG,hsa04310
SMAD3,hsa04310
FGFR1,hsa04550
MAPK14,hsa04550
MAPK1,hsa04550
JAK2,hsa04550
MAPK3,hsa04550
STAT3,hsa04550
SMAD2,hsa04550
GSK3B,hsa04550
AKT1,hsa04550
PIK3CA,hsa04550
SMAD3,hsa04550
MAPK10,hsa05010
NFKB1,hsa05010
MAPK9,hsa05010
IL1B,hsa05010
MAPK1,hsa05010
ITPR2,hsa05010
IKBKB,hsa05010
MAPK3,hsa05010
IL6,hsa05010
MAPK8,hsa05010
TNF,hsa05010
GSK3B,hsa05010
AKT1,hsa05010
RELA,hsa05010
PIK3CA,hsa05010
COX2,hsa05010
BRAF,hsa05010
NFKB1,hsa05206
CCND1,hsa05206
BCL2,hsa05206
TP53,hsa05206
NOTCH1,hsa05206
MCL1,hsa05206
MAPK1,hsa05206
IKBKB,hsa05206
MAPK3,hsa05206
STAT3,hsa05206
TGFB2,hsa05206
VEGFA,hsa05206
SIRT1,hsa05206
PIK3CA,hsa05206
MMP9,hsa05206
JUN,hsa05323
CXCL12,hsa05323
IL1B,hsa05323
IL6,hsa05323
TGFB1,hsa05323
TGFB2,hsa05323
VEGFA,hsa05323
FOS,hsa05323
TNF,hsa05323
NFKB1,hsa01523
IL1B,hsa01523
IKBKB,hsa01523
IL6,hsa01523
TNF,hsa01523
RELA,hsa01523
SIRT3,hsa05230
HIF1A,hsa05230
TP53,hsa05230
FGFR1,hsa05230
MAPK1,hsa05230
MAPK3,hsa05230
AKT1,hsa05230
PIK3CA,hsa05230
JUN,hsa05030
NFKB1,hsa05030
PRKACA,hsa05030
PRKACB,hsa05030
PRKACG,hsa05030
ATF2,hsa05030
RELA,hsa05030
MAPK10,hsa05022
NFKB1,hsa05022
BCL2,hsa05022
MAPK9,hsa05022
IL1B,hsa05022
MAPK14,hsa05022
MAPK1,hsa05022
ITPR2,hsa05022
MAPK3,hsa05022
IL6,hsa05022
SQSTM1,hsa05022
MAPK8,hsa05022
TNF,hsa05022
GSK3B,hsa05022
RELA,hsa05022
BAX,hsa05022
COX2,hsa05022
BRAF,hsa05022
CCND1,hsa05214
TP53,hsa05214
MAPK1,hsa05214
MAPK3,hsa05214
AKT1,hsa05214
BAX,hsa05214
PIK3CA,hsa05214
BRAF,hsa05214
NFKB2,hsa04064
NFKB1,hsa04064
BCL2,hsa04064
CXCL12,hsa04064
NFKBIA,hsa04064
IL1B,hsa04064
IKBKB,hsa04064
TNF,hsa04064
RELA,hsa04064
MAPK10,hsa04723
MAPK9,hsa04723
MAPK14,hsa04723
MAPK1,hsa04723
ITPR2,hsa04723
MAPK3,hsa04723
MAPK8,hsa04723
PRKACA,hsa04723
PRKACB,hsa04723
PRKACG,hsa04723
CXCR4,hsa04670
CXCL12,hsa04670
CYBA,hsa04670
MAPK14,hsa04670
ITGA4,hsa04670
ITGB1,hsa04670
PTK2,hsa04670
PIK3CA,hsa04670
MMP9,hsa04670
MAPK14,hsa04370
MAPK1,hsa04370
MAPK3,hsa04370
VEGFA,hsa04370
AKT1,hsa04370
PTK2,hsa04370
PIK3CA,hsa04370
CXCR4,hsa04810
CXCL12,hsa04810
FGFR1,hsa04810
MAPK1,hsa04810
MAPK3,hsa04810
F2R,hsa04810
ITGA4,hsa04810
ITGB1,hsa04810
AKT1,hsa04810
PTK2,hsa04810
PIK3CA,hsa04810
BRAF,hsa04810
HIF1A,hsa04148
MAPK14,hsa04148
MAPK1,hsa04148
JAK2,hsa04148
MAPK3,hsa04148
TGFB1,hsa04148
SIRT1,hsa04148
PTK2,hsa04148
CASP1,hsa04148
CEBPB,hsa04148
ITPR2,hsa04927
SP1,hsa04927
PRKACA,hsa04927
PRKACB,hsa04927
PRKACG,hsa04927
ATF2,hsa04927
CYP11A1,hsa04927
MAPK1,hsa04720
ITPR2,hsa04720
MAPK3,hsa04720
PRKACA,hsa04720
PRKACB,hsa04720
PRKACG,hsa04720
BRAF,hsa04720
JUN,hsa05031
SIRT1,hsa05031
PRKACA,hsa05031
PRKACB,hsa05031
FOS,hsa05031
PRKACG,hsa05031
ATF2,hsa05031
FGFR1,hsa04015
MAPK14,hsa04015
MAPK1,hsa04015
MAPK3,hsa04015
F2R,hsa04015
VEGFA,hsa04015
ITGB1,hsa04015
AKT1,hsa04015
PIK3CA,hsa04015
BRAF,hsa04015
CDH1,hsa04015
TGFB1,hsa05414
TGFB2,hsa05414
PRKACA,hsa05414
PRKACB,hsa05414
TNF,hsa05414
ITGA4,hsa05414
ITGB1,hsa05414
PRKACG,hsa05414
BCL2,hsa01524
TP53,hsa01524
MAPK1,hsa01524
MAPK3,hsa01524
AKT1,hsa01524
BAX,hsa01524
PIK3CA,hsa01524
ITPR2,hsa04922
SIRT1,hsa04922
PRKACA,hsa04922
PRKACB,hsa04922
AKT1,hsa04922
PRKACG,hsa04922
ATF2,hsa04922
PPARGC1A,hsa04922
MAPK1,hsa04350
MAPK3,hsa04350
TGFB1,hsa04350
TGFB2,hsa04350
SP1,hsa04350
TNF,hsa04350
SMAD2,hsa04350
SMAD3,hsa04350
HSD17B2,hsa04913
PRKACA,hsa04913
PRKACB,hsa04913
PRKACG,hsa04913
CYP11A1,hsa04913
CYP19A1,hsa04913
MAPK10,hsa05012
TP53,hsa05012
MAPK9,hsa05012
KEAP1,hsa05012
ITPR2,hsa05012
MAPK8,hsa05012
NFE2L2,hsa05012
PRKACA,hsa05012
PRKACB,hsa05012
PRKACG,hsa05012
BAX,hsa05012
COX2,hsa05012
MAPK10,hsa04215
BCL2,hsa04215
MAPK9,hsa04215
MAPK8,hsa04215
BAX,hsa04215
NFKB1,hsa04613
CYBA,hsa04613
MAPK14,hsa04613
MAPK1,hsa04613
MAPK3,hsa04613
AKT1,hsa04613
GSDMD,hsa04613
RELA,hsa04613
CASP1,hsa04613
PIK3CA,hsa04613
CCND1,hsa04340
BCL2,hsa04340
PRKACA,hsa04340
PRKACB,hsa04340
GSK3B,hsa04340
PRKACG,hsa04340
BCL2,hsa04261
MAPK14,hsa04261
MAPK1,hsa04261
MAPK3,hsa04261
PRKACA,hsa04261
PRKACB,hsa04261
AKT1,hsa04261
PRKACG,hsa04261
ATF2,hsa04261
JUN,hsa04921
CCND1,hsa04921
MAPK1,hsa04921
ITPR2,hsa04921
MAPK3,hsa04921
PRKACA,hsa04921
PRKACB,hsa04921
FOS,hsa04921
PRKACG,hsa04921
NFKB1,hsa05202
TP53,hsa05202
REL,hsa05202
IL6,hsa05202
SP1,hsa05202
PTK2,hsa05202
RELA,hsa05202
BAX,hsa05202
CEBPB,hsa05202
MMP9,hsa05202
SIRT1,hsa04213
PRKACA,hsa04213
PRKACB,hsa04213
AKT1,hsa04213
PRKACG,hsa04213
PIK3CA,hsa04213
SOCS3,hsa04630
CCND1,hsa04630
BCL2,hsa04630
MCL1,hsa04630
JAK2,hsa04630
STAT3,hsa04630
IL6,hsa04630
AKT1,hsa04630
PIK3CA,hsa04630
MAPK10,hsa04530
JUN,hsa04530
CCND1,hsa04530
MAPK9,hsa04530
MAPK8,hsa04530
PRKACA,hsa04530
PRKACB,hsa04530
ITGB1,hsa04530
PRKACG,hsa04530
MAPK1,hsa04270
ITPR2,hsa04270
MAPK3,hsa04270
ACTA2,hsa04270
PRKACA,hsa04270
PRKACB,hsa04270
PRKACG,hsa04270
BRAF,hsa04270
MAPK10,hsa05017
MAPK9,hsa05017
ITPR2,hsa05017
MAPK8,hsa05017
SP1,hsa05017
AKT1,hsa05017
OPA1,hsa05017
PIK3CA,hsa05017
CXCR4,hsa04672
CXCL12,hsa04672
IL6,hsa04672
TGFB1,hsa04672
ITGA4,hsa04672
IL1B,hsa05144
IL6,hsa05144
TGFB1,hsa05144
TGFB2,hsa05144
TNF,hsa05144
MAPK1,hsa04726
ITPR2,hsa04726
MAPK3,hsa04726
PRKACA,hsa04726
PRKACB,hsa04726
PRKACG,hsa04726
BRAF,hsa04726
MAPK1,hsa04150
IKBKB,hsa04150
MAPK3,hsa04150
TNF,hsa04150
GSK3B,hsa04150
AKT1,hsa04150
PIK3CA,hsa04150
BRAF,hsa04150
MAPK1,hsa04540
ITPR2,hsa04540
MAPK3,hsa04540
PRKACA,hsa04540
PRKACB,hsa04540
PRKACG,hsa04540
PRKACA,hsa04923
PRKACB,hsa04923
AKT1,hsa04923
PRKACG,hsa04923
PIK3CA,hsa04923
FGFR1,hsa04520
MAPK1,hsa04520
MAPK3,hsa04520
SNAI1,hsa04520
SMAD3,hsa04520
CDH1,hsa04520
MAPK1,hsa04713
MAPK3,hsa04713
PRKACA,hsa04713
PRKACB,hsa04713
FOS,hsa04713
PRKACG,hsa04713
ITPR2,hsa04925
PRKACA,hsa04925
PRKACB,hsa04925
PRKACG,hsa04925
ATF2,hsa04925
CYP11A1,hsa04925
MAPK14,hsa04114
MAPK1,hsa04114
ITPR2,hsa04114
MAPK3,hsa04114
PRKACA,hsa04114
PRKACB,hsa04114
PRKACG,hsa04114
IL6,hsa05410
TGFB1,hsa05410
TGFB2,hsa05410
TNF,hsa05410
ITGA4,hsa05410
ITGB1,hsa05410
CXCR4,hsa04360
CXCL12,hsa04360
MAPK1,hsa04360
MAPK3,hsa04360
GSK3B,hsa04360
ITGB1,hsa04360
PTK2,hsa04360
PIK3CA,hsa04360
MAPK1,hsa04929
ITPR2,hsa04929
MAPK3,hsa04929
AKT1,hsa04929
PIK3CA,hsa04929
MAPK1,hsa04916
MAPK3,hsa04916
PRKACA,hsa04916
PRKACB,hsa04916
GSK3B,hsa04916
PRKACG,hsa04916
IL1B,hsa05143
IL6,hsa05143
F2RL1,hsa05143
TNF,hsa05143
ITPR2,hsa04918
PRKACA,hsa04918
PRKACB,hsa04918
PRKACG,hsa04918
ATF2,hsa04918
CCND1,hsa04390
TGFB1,hsa04390
TGFB2,hsa04390
SMAD2,hsa04390
GSK3B,hsa04390
SMAD3,hsa04390
CDH1,hsa04390
CCND1,hsa04110
TP53,hsa04110
TGFB1,hsa04110
TGFB2,hsa04110
SMAD2,hsa04110
GSK3B,hsa04110
SMAD3,hsa04110
MAPK1,hsa04724
ITPR2,hsa04724
MAPK3,hsa04724
PRKACA,hsa04724
PRKACB,hsa04724
PRKACG,hsa04724
GLP1R,hsa04911
PRKACA,hsa04911
PRKACB,hsa04911
PRKACG,hsa04911
ATF2,hsa04911
FGFR1,hsa04714
MAPK14,hsa04714
PRKACA,hsa04714
PRKACB,hsa04714
PRKACG,hsa04714
ATF2,hsa04714
COX2,hsa04714
PPARGC1A,hsa04714
MAPK1,hsa05034
MAPK3,hsa05034
PRKACA,hsa05034
PRKACB,hsa05034
PRKACG,hsa05034
ATF2,hsa05034
BRAF,hsa05034
MAPK1,hsa04730
ITPR2,hsa04730
MAPK3,hsa04730
BRAF,hsa04730
CXCR4,hsa04020
FGFR1,hsa04020
ITPR2,hsa04020
F2R,hsa04020
VEGFA,hsa04020
PRKACA,hsa04020
PRKACB,hsa04020
PRKACG,hsa04020
ITPR2,hsa04924
PRKACA,hsa04924
PRKACB,hsa04924
PRKACG,hsa04924
MAPK1,hsa04960
MAPK3,hsa04960
PIK3CA,hsa04960
CCND1,hsa04115
BCL2,hsa04115
TP53,hsa04115
BAX,hsa04115
MAPK10,hsa04141
BCL2,hsa04141
MAPK9,hsa04141
MAPK8,hsa04141
NFE2L2,hsa04141
BAX,hsa04141
ITPR2,hsa04971
PRKACA,hsa04971
PRKACB,hsa04971
PRKACG,hsa04971
CCND1,hsa04152
SIRT1,hsa04152
AKT1,hsa04152
PIK3CA,hsa04152
PPARGC1A,hsa04152
ITGB1,hsa05100
PTK2,hsa05100
PIK3CA,hsa05100
CDH1,hsa05100
